article,accuracy,MCC,F1,part,batch_size,epochs,training_size,train_distribution
All,0.7191163174393664,0.43916412723297116,0.7240798380592843,procedure+facts,16,20,5504,50.0
2,0.670814061054579,0.34873645865788977,0.6773323428002243,procedure+facts,16,20,462,50.0
3,0.6199988607883344,0.24161808399857304,0.6371225284981711,procedure+facts,16,20,1326,50.0
5,0.6395555555555555,0.28138208415088617,0.6445956132162332,procedure+facts,16,20,996,50.0
6,0.719736410112096,0.44264505768773105,0.7175953712471026,procedure+facts,16,20,2066,50.0
8,0.626923076923077,0.25499515191156563,0.6257101696988375,procedure+facts,16,20,1040,50.0
10,0.6105263157894736,0.23086834944538728,0.6085216795028009,procedure+facts,16,20,380,50.0
11,0.6590909090909091,0.3255104753842611,0.6710878010878012,procedure+facts,16,20,104,50.0
13,0.7194871794871794,0.4509113866338657,0.7395917458960938,procedure+facts,16,20,392,50.0
14,0.73996632996633,0.48677182455396445,0.7554277766643858,procedure+facts,16,20,546,50.0
All,0.7118416102953308,0.4243611609826761,0.7158148329087481,procedure,16,20,5504,50.0
2,0.6320536540240518,0.26815594330046544,0.6445317034465263,procedure,16,20,462,50.0
3,0.6387844611528822,0.2792213213785623,0.6377130851044601,procedure,16,20,1326,50.0
5,0.6436363636363636,0.28962733962321446,0.6530973196564404,procedure,16,20,996,50.0
6,0.7429764082360114,0.48726145983051083,0.7423024828010438,procedure,16,20,2066,50.0
8,0.5682692307692307,0.1371618052917817,0.5616616252368807,procedure,16,20,1040,50.0
10,0.6105263157894737,0.22543594243425896,0.6095813769259876,procedure,16,20,380,50.0
11,0.6518181818181819,0.33959739605386485,0.6695238095238095,procedure,16,20,104,50.0
13,0.7042307692307692,0.419416224029774,0.7157790582888872,procedure,16,20,392,50.0
14,0.7307070707070707,0.4678519972970793,0.7494047486421311,procedure,16,20,546,50.0
All,0.727007094538855,0.4552736188966394,0.728448604767272,facts,16,20,5502,50.0
2,0.5952358926919519,0.19185649542134867,0.6004001908848138,facts,16,20,462,50.0
3,0.619958988380041,0.2411990326954077,0.624808681504047,facts,16,20,1326,50.0
5,0.6494040404040404,0.29996511701254,0.6503012370916239,facts,16,20,996,50.0
6,0.7400848928286666,0.48125742506930347,0.741064095850597,facts,16,20,2066,50.0
8,0.6134615384615385,0.22789415857582015,0.6059158965044114,facts,16,20,1040,50.0
10,0.643172119487909,0.29460923102811415,0.6199220115766177,facts,16,20,378,50.0
11,0.6890909090909091,0.3992371787576944,0.7113636363636363,facts,16,20,104,50.0
13,0.7882051282051281,0.579938534999388,0.7949431718831963,facts,16,20,392,50.0
14,0.7106734006734007,0.4259715409232627,0.7269297959096417,facts,16,20,546,50.0
