year,accuracy,MCC,F1,window,batch_size,epochs,method,training_size,test_size,train_distribution,test_distribution
1978,0.3333333333333333,0.0,0.0,10,16,20,random,4,3,50.0,66.67
1979,0.5,0.0,0.6666666666666666,10,16,20,random,8,2,50.0,100.0
1980,0.6666666666666666,0.5,0.6666666666666666,10,16,20,random,12,3,50.0,66.67
1981,1.0,1.0,1.0,10,16,20,random,16,2,50.0,50.0
1982,0.3333333333333333,0.2,0.33333333333333337,10,16,20,random,18,6,50.0,83.33
1983,0.2857142857142857,0.0,0.0,10,16,20,random,26,7,50.0,71.43
1984,0.3,0.16666666666666666,0.2222222222222222,10,16,20,random,30,10,50.0,80.0
1985,0.25,0.0,0.0,10,16,20,random,34,4,50.0,75.0
1986,0.42857142857142855,0.0,0.0,10,16,20,random,36,7,50.0,57.14
1987,0.5333333333333333,0.1846372364689991,0.46153846153846156,10,16,20,random,42,15,50.0,60.0
1988,0.7142857142857143,0.0,0.0,10,16,20,random,54,7,50.0,28.57
1989,0.2,0.0,0.0,10,16,20,random,64,15,50.0,80.0
1990,0.125,0.0,0.2222222222222222,10,16,20,random,70,8,50.0,100.0
1991,0.5833333333333334,0.16083916083916083,0.6153846153846154,10,16,20,random,70,24,50.0,54.17
1992,0.43478260869565216,0.25617376914899,0.3157894736842105,10,16,20,random,92,23,50.0,69.57
1993,0.5666666666666667,0.20009979763878896,0.43478260869565216,10,16,20,random,106,30,50.0,53.33
1994,0.4117647058823529,0.0,0.0,10,16,20,random,134,34,50.0,58.82
1995,0.42857142857142855,0.22941573387056177,0.25,10,16,20,random,162,21,50.0,66.67
1996,0.5142857142857142,0.16666666666666666,0.10526315789473684,10,16,20,random,176,35,50.0,51.43
1997,0.5681818181818182,0.24142090705339864,0.5365853658536585,10,16,20,random,210,44,50.0,61.36
1998,0.49122807017543857,0.21228156695322095,0.5245901639344261,10,16,20,random,244,57,50.0,75.44
1999,0.44,0.14873555160002705,0.5483870967741935,10,16,20,random,272,50,50.0,88.0
2000,0.5916666666666667,0.28097134756191006,0.6573426573426574,10,16,20,random,284,120,50.0,75.0
2001,0.5877862595419847,0.23705601581454266,0.6351351351351352,10,16,20,random,344,131,50.0,68.7
2002,0.6178343949044586,0.37208604000088624,0.6875000000000001,10,16,20,random,426,157,50.0,78.34
2003,0.6600985221674877,0.28694679694615627,0.7737704918032787,10,16,20,random,494,203,50.0,90.64
2004,0.7559808612440191,0.13993064955271672,0.853868194842407,10,16,20,random,532,209,50.0,88.52
2005,0.7842565597667639,0.1072752968964307,0.8754208754208755,10,16,20,random,580,343,50.0,92.13
2006,0.8573883161512027,0.21550724524181983,0.9210275927687915,10,16,20,random,634,582,50.0,93.81
2007,0.7693631669535284,0.25411895899515036,0.8621399176954734,10,16,20,random,706,581,50.0,92.43
2008,0.7993019197207679,0.2637772168422308,0.883248730964467,10,16,20,random,794,573,50.0,93.72
2009,0.7568,0.2095636134034088,0.8544061302681993,10,16,20,random,866,625,50.0,92.48
2010,0.7213403880070547,0.2253779826425519,0.8252212389380531,10,16,20,random,960,567,50.0,89.42
2011,0.6993464052287581,0.13501864809774664,0.8104395604395604,10,16,20,random,1080,459,50.0,87.36
2012,0.7018072289156626,0.21260779376099917,0.8055009823182712,10,16,20,random,1196,332,50.0,84.34
2013,0.6918238993710691,0.1575843390310395,0.8032128514056224,10,16,20,random,1300,318,50.0,87.42
2014,0.7375,0.4114426120393502,0.823529411764706,10,16,20,random,1380,240,50.0,85.0
2015,0.7162162162162162,0.32066507374278697,0.8119402985074626,10,16,20,random,1452,222,50.0,85.59
2016,0.7653061224489796,0.39143621010706814,0.846325167037862,10,16,20,random,1516,294,50.0,82.99
2017,0.804147465437788,0.4267294345564593,0.8780487804878049,10,16,20,random,1616,434,50.0,86.41
2018,0.7393617021276596,0.35311564934719963,0.8310344827586207,10,16,20,random,1734,376,50.0,86.97
2019,0.7648809523809523,0.3033573077888074,0.8539741219963031,10,16,20,random,1832,336,50.0,87.5
2020,0.7043795620437956,0.2758571898461227,0.807600950118765,10,16,20,random,1916,274,50.0,87.96
2021,0.7008547008547008,0.2460270601004368,0.809437386569873,10,16,20,random,1982,351,50.0,90.6
2022,0.7007874015748031,0.3086496357609915,0.81,10,16,20,random,2030,127,50.0,92.91
