year,accuracy,MCC,F1,window,batch_size,epochs,method,training_size,test_size,train_distribution,test_distribution
1978,0,0,0,5,16,20,window,0,3,nan,66.67
1978,0,0,0,10,16,20,window,0,3,nan,66.67
1978,0,0,0,15,16,20,window,0,3,nan,66.67
1978,0,0,0,20,16,20,window,0,3,nan,66.67
1978,0,0,0,25,16,20,window,0,3,nan,66.67
1978,0,0,0,30,16,20,window,0,3,nan,66.67
1978,0,0,0,35,16,20,window,0,3,nan,66.67
1978,0,0,0,40,16,20,window,0,3,nan,66.67
1978,0,0,0,45,16,20,window,0,3,nan,66.67
1978,0,0,0,50,16,20,window,0,3,nan,66.67
1978,0,0,0,55,16,20,window,0,3,nan,66.67
1979,0.0,0.0,0.0,5,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,10,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,15,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,20,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,25,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,30,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,35,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,40,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,45,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,50,16,20,window,2,2,50.0,100.0
1979,1.0,0.0,1.0,55,16,20,window,2,2,50.0,100.0
1980,0.3333333333333333,0.0,0.0,5,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,10,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,15,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,20,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,25,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,30,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,35,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,40,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,45,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,50,16,20,window,2,3,50.0,66.67
1980,0.3333333333333333,0.0,0.0,55,16,20,window,2,3,50.0,66.67
1981,0.0,-1.0,0.0,5,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,10,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,15,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,20,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,25,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,30,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,35,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,40,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,45,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,50,16,20,window,4,2,50.0,50.0
1981,0.0,-1.0,0.0,55,16,20,window,4,2,50.0,50.0
1982,0.16666666666666666,0.0,0.0,5,16,20,window,6,6,50.0,83.33
1982,0.16666666666666666,0.0,0.0,10,16,20,window,6,6,50.0,83.33
1982,0.16666666666666666,0.0,0.0,15,16,20,window,6,6,50.0,83.33
