year,accuracy,MCC,F1,alpha,window,method,training_size,test_size,train_distribution,test_distribution
1978,0.3333333333333333,-0.5,0.5,5,,only,4,3,50.0,66.67
1979,1.0,0.0,1.0,5,,only,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,,only,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,,only,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,5,,only,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,,only,26,7,50.0,71.43
1985,0.75,0.0,0.8571428571428571,5,,only,34,4,50.0,75.0
1984,0.9,0.6666666666666666,0.9411764705882353,5,,only,30,10,50.0,80.0
1986,0.5714285714285714,0.0,0.7272727272727273,5,,only,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,5,,only,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,,only,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,5,,only,64,15,50.0,80.0
1990,0.875,0.0,0.9333333333333333,5,,only,70,8,50.0,100.0
1991,0.5,-0.19180536399919287,0.6666666666666667,5,,only,70,24,50.0,54.17
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,5,,only,92,23,50.0,69.57
1994,0.5,-0.06762904096897156,0.6046511627906976,5,,only,134,34,50.0,58.82
1995,0.38095238095238093,-0.26967994498529685,0.4799999999999999,5,,only,162,21,50.0,66.67
1993,0.5666666666666667,0.11664236870396086,0.6486486486486486,5,,only,106,30,50.0,53.33
1996,0.5142857142857142,0.029411764705882353,0.5142857142857143,5,,only,176,35,50.0,51.43
1997,0.5454545454545454,0.04139433551198257,0.6296296296296297,5,,only,210,44,50.0,61.36
1998,0.7017543859649122,0.21434107811929168,0.8,5,,only,244,57,50.0,75.44
1999,0.64,-0.09320982345263394,0.775,5,,only,272,50,50.0,88.0
2000,0.6583333333333333,0.3003486818765245,0.7388535031847134,5,,only,284,120,50.0,75.0
2001,0.7404580152671756,0.44985581869801466,0.7976190476190476,5,,only,344,131,50.0,68.7
2002,0.6815286624203821,0.270391023652846,0.7747747747747749,5,,only,426,157,50.0,78.34
2003,0.8325123152709359,0.439261967502535,0.9005847953216375,5,,only,494,203,50.0,90.64
2004,0.8181818181818182,0.38822528302191495,0.8908045977011494,5,,only,532,209,50.0,88.52
2005,0.8396501457725948,0.21672508322799264,0.9096880131362891,5,,only,580,343,50.0,92.13
2006,0.8608247422680413,0.3411474596288291,0.9218900675024108,5,,only,634,582,50.0,93.81
2007,0.8158347676419966,0.352317075899911,0.8920282542885973,5,,only,706,581,50.0,92.43
2008,0.8027923211169284,0.3214587406575409,0.8845760980592442,5,,only,794,573,50.0,93.72
2009,0.7056,0.24016227574349447,0.8156312625250501,5,,only,866,625,50.0,92.48
2010,0.689594356261023,0.26774983080414555,0.7977011494252872,5,,only,960,567,50.0,89.42
2011,0.5925925925925926,0.24692715798021186,0.7064364207221351,5,,only,1080,459,50.0,87.36
2012,0.5843373493975904,0.33647619639939563,0.677570093457944,5,,only,1196,332,50.0,84.34
2013,0.6257861635220126,0.35104324392343167,0.73015873015873,5,,only,1300,318,50.0,87.42
2014,0.575,0.326628725322544,0.6709677419354838,5,,only,1380,240,50.0,85.0
2015,0.5405405405405406,0.27382064521905625,0.6408450704225352,5,,only,1452,222,50.0,85.59
2016,0.608843537414966,0.3750569850789283,0.6949602122015915,5,,only,1516,294,50.0,82.99
2017,0.716589861751152,0.43916872908828886,0.8056872037914692,5,,only,1616,434,50.0,86.41
2018,0.6090425531914894,0.3591295090258688,0.7111984282907662,5,,only,1734,376,50.0,86.97
2019,0.6071428571428571,0.32396954829362334,0.7142857142857143,5,,only,1832,336,50.0,87.5
2020,0.5072992700729927,0.2755272039181356,0.6131805157593123,5,,only,1916,274,50.0,87.96
2021,0.584045584045584,0.28401084390018816,0.7044534412955465,5,,only,1982,351,50.0,90.6
2022,0.6299212598425197,0.3109677933854283,0.7513227513227513,5,,only,2048,127,50.0,92.91
