year,accuracy,MCC,F1,alpha,window,method,training_size,test_size,train_distribution,test_distribution
1978,0.6666666666666666,0.5,0.6666666666666666,5,,random,4,3,50.0,66.67
1979,0.5,0.0,0.6666666666666666,5,,random,8,2,50.0,100.0
1980,0.3333333333333333,0.0,0.0,5,,random,12,3,50.0,66.67
1981,0.5,0.0,0.0,5,,random,16,2,50.0,50.0
1982,0.6666666666666666,-0.2,0.8000000000000002,5,,random,18,6,50.0,83.33
1983,0.2857142857142857,0.0,0.0,5,,random,26,7,50.0,71.43
1984,0.4,0.25,0.4,5,,random,30,10,50.0,80.0
1985,0.25,0.0,0.0,5,,random,34,4,50.0,75.0
1986,0.42857142857142855,0.0,0.0,5,,random,36,7,50.0,57.14
1987,0.4,0.0,0.0,5,,random,42,15,50.0,60.0
1988,0.7142857142857143,0.0,0.0,5,,random,54,7,50.0,28.57
1989,0.2,0.0,0.0,5,,random,64,15,50.0,80.0
1990,0.25,0.0,0.4,5,,random,70,8,50.0,100.0
1991,0.5,0.19180536399919287,0.14285714285714288,5,,random,70,24,50.0,54.17
1992,0.43478260869565216,0.25617376914899,0.3157894736842105,5,,random,92,23,50.0,69.57
1993,0.5,0.17370208344491278,0.11764705882352941,5,,random,106,30,50.0,53.33
1994,0.35294117647058826,-0.2988071523335984,0.0,5,,random,134,34,50.0,58.82
1995,0.3333333333333333,0.0,0.0,5,,random,162,21,50.0,66.67
1996,0.4857142857142857,0.0,0.0,5,,random,176,35,50.0,51.43
1997,0.45454545454545453,0.2146403054055949,0.19999999999999998,5,,random,210,44,50.0,61.36
1998,0.2982456140350877,0.1344910974643215,0.13043478260869565,5,,random,244,57,50.0,75.44
1999,0.26,0.1489923873929708,0.2745098039215686,5,,random,272,50,50.0,88.0
2000,0.31666666666666665,0.1543033499620919,0.163265306122449,5,,random,284,120,50.0,75.0
2001,0.3816793893129771,0.14499393275387648,0.198019801980198,5,,random,344,131,50.0,68.7
2002,0.5605095541401274,0.35920815713153076,0.6145251396648045,5,,random,426,157,50.0,78.34
2003,0.645320197044335,0.32959996630573557,0.7583892617449665,5,,random,494,203,50.0,90.64
2004,0.6267942583732058,0.3459962216610933,0.7346938775510204,5,,random,532,209,50.0,88.52
2005,0.6793002915451894,0.2510517496320293,0.7940074906367043,5,,random,580,343,50.0,92.13
2006,0.7766323024054983,0.3053036664795959,0.867075664621677,5,,random,634,582,50.0,93.81
2007,0.7246127366609294,0.3135577501663551,0.8275862068965517,5,,random,706,581,50.0,92.43
2008,0.6858638743455497,0.24551513680605377,0.8017621145374448,5,,random,794,573,50.0,93.72
2009,0.6272,0.214773015832561,0.752916224814422,5,,random,866,625,50.0,92.48
2010,0.6049382716049383,0.23573340904697568,0.7248157248157248,5,,random,960,567,50.0,89.42
2011,0.5294117647058824,0.26053152335660223,0.6375838926174496,5,,random,1080,459,50.0,87.36
2012,0.5512048192771084,0.3230005067720678,0.6409638554216868,5,,random,1196,332,50.0,84.34
2013,0.5817610062893082,0.3181626290500301,0.6885245901639344,5,,random,1300,318,50.0,87.42
2014,0.55,0.3076976944152481,0.6447368421052632,5,,random,1380,240,50.0,85.0
2015,0.5,0.2844097565596364,0.5904059040590406,5,,random,1452,222,50.0,85.59
2016,0.5544217687074829,0.3310483017724967,0.6371191135734072,5,,random,1516,294,50.0,82.99
2017,0.7004608294930875,0.4422906666928766,0.7909967845659165,5,,random,1616,434,50.0,86.41
2018,0.6170212765957447,0.365170203099298,0.7187500000000001,5,,random,1734,376,50.0,86.97
2019,0.5892857142857143,0.32433748657040123,0.6960352422907489,5,,random,1832,336,50.0,87.5
2020,0.4708029197080292,0.25273002951187046,0.5722713864306784,5,,random,1916,274,50.0,87.96
2021,0.5783475783475783,0.2803488307916507,0.6991869918699186,5,,random,1982,351,50.0,90.6
2022,0.6377952755905512,0.31598404515903855,0.7578947368421053,5,,random,2048,127,50.0,92.91
