year,accuracy,MCC,F1,alpha,window,method,training_size,test_size,train_distribution,test_distribution
1972,0,0,0,5,5,window,0,0,nan,nan
1977,0,0,0,5,5,window,4,0,50.0,nan
1969,0,0,0,5,5,window,0,1,nan,0.0
1973,0,0,0,5,5,window,0,0,nan,nan
1975,0,0,0,5,5,window,0,1,nan,100.0
1970,0,0,0,5,5,window,0,1,nan,0.0
1974,0,0,0,5,5,window,0,0,nan,nan
1971,0,0,0,5,5,window,0,1,nan,0.0
1978,0.6666666666666666,0.0,0.8,5,5,window,4,3,50.0,66.67
1976,0.16666666666666666,0.0,0.2857142857142857,5,5,window,2,6,50.0,16.67
1979,1.0,0.0,1.0,5,5,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,5,window,12,3,50.0,66.67
1985,0.5,0.3333333333333333,0.5,5,5,window,14,4,50.0,75.0
1981,0.5,0.0,0.6666666666666666,5,5,window,14,2,50.0,50.0
1986,0.14285714285714285,-0.75,0.25,5,5,window,14,7,50.0,57.14
1982,0.6666666666666666,-0.2,0.8000000000000002,5,5,window,6,6,50.0,83.33
1983,0.2857142857142857,-0.3,0.28571428571428575,5,5,window,8,7,50.0,71.43
1984,0.4,0.25,0.4,5,5,window,10,10,50.0,80.0
1987,0.6,0.08006407690254358,0.7272727272727274,5,5,window,18,15,50.0,60.0
1988,0.5714285714285714,0.4,0.5714285714285715,5,5,window,28,7,50.0,28.57
1989,0.7333333333333333,-0.1336306209562122,0.8461538461538461,5,5,window,34,15,50.0,80.0
1990,0.5,0.0,0.6666666666666666,5,5,window,36,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,5,5,window,34,24,50.0,54.17
1992,0.7391304347826086,0.5016881674068239,0.7857142857142857,5,5,window,50,23,50.0,69.57
1993,0.6666666666666666,0.33035714285714285,0.6875,5,5,window,52,30,50.0,53.33
1994,0.5294117647058824,0.02857142857142857,0.6,5,5,window,70,34,50.0,58.82
1995,0.3333333333333333,-0.337099931231621,0.41666666666666663,5,5,window,92,21,50.0,66.67
1996,0.42857142857142855,-0.14002800840280097,0.375,5,5,window,106,35,50.0,51.43
1997,0.6590909090909091,0.2891182650250076,0.7169811320754716,5,5,window,118,44,50.0,61.36
1998,0.5614035087719298,0.1530409022617326,0.647887323943662,5,5,window,138,57,50.0,75.44
1999,0.74,-0.01281577413514654,0.8470588235294119,5,5,window,138,50,50.0,88.0
2000,0.6333333333333333,0.15974461276617435,0.7349397590361447,5,5,window,122,120,50.0,75.0
2001,0.648854961832061,0.41300722001285156,0.676056338028169,5,5,window,168,131,50.0,68.7
2002,0.6878980891719745,0.3105856021574083,0.776255707762557,5,5,window,216,157,50.0,78.34
2003,0.812807881773399,0.4115862621748101,0.8875739644970413,5,5,window,250,203,50.0,90.64
2004,0.7655502392344498,0.427885855393415,0.8501529051987767,5,5,window,260,209,50.0,88.52
2005,0.8163265306122449,0.2284287543039541,0.8944723618090452,5,5,window,296,343,50.0,92.13
2007,0.7401032702237521,0.32719851023875135,0.8388473852721452,5,5,window,280,581,50.0,92.43
2006,0.8470790378006873,0.3481572650935183,0.9131707317073171,5,5,window,290,582,50.0,93.81
1969,0,0,0,5,10,window,0,1,nan,0.0
1970,0,0,0,5,10,window,0,1,nan,0.0
2008,0.7242582897033158,0.2613664560232634,0.8304721030042918,5,5,window,300,573,50.0,93.72
1971,0,0,0,5,10,window,0,1,nan,0.0
1972,0,0,0,5,10,window,0,0,nan,nan
2009,0.6064,0.15020746001852467,0.7382978723404255,5,5,window,334,625,50.0,92.48
1973,0,0,0,5,10,window,0,0,nan,nan
1974,0,0,0,5,10,window,0,0,nan,nan
1975,0,0,0,5,10,window,0,1,nan,100.0
1976,0.16666666666666666,0.0,0.2857142857142857,5,10,window,2,6,50.0,16.67
1977,0,0,0,5,10,window,4,0,50.0,nan
2010,0.6313932980599647,0.24661304213030133,0.7484957882069796,5,5,window,380,567,50.0,89.42
1978,0.6666666666666666,0.0,0.8,5,10,window,4,3,50.0,66.67
1979,1.0,0.0,1.0,5,10,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,10,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,10,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,5,10,window,16,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,10,window,18,7,50.0,71.43
2011,0.5577342047930284,0.26027156531587003,0.6688417618270799,5,5,window,446,459,50.0,87.36
1984,0.9,0.6666666666666666,0.9411764705882353,5,10,window,22,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,5,10,window,26,4,50.0,75.0
2012,0.5572289156626506,0.3275474639570953,0.6474820143884892,5,5,window,490,332,50.0,84.34
1986,0.5714285714285714,0.0,0.7272727272727273,5,10,window,28,7,50.0,57.14
1987,0.4,-0.408248290463863,0.5714285714285715,5,10,window,24,15,50.0,60.0
2013,0.6226415094339622,0.34860852812348675,0.7272727272727272,5,5,window,506,318,50.0,87.42
1988,0.42857142857142855,-0.09128709291752768,0.3333333333333333,5,10,window,36,7,50.0,28.57
1989,0.5333333333333333,-0.06804138174397717,0.6666666666666666,5,10,window,44,15,50.0,80.0
1990,0.375,0.0,0.5454545454545454,5,10,window,50,8,50.0,100.0
2014,0.5666666666666667,0.32025630761017426,0.6623376623376622,5,5,window,514,240,50.0,85.0
1991,0.4166666666666667,-0.3476767476825577,0.588235294117647,5,10,window,48,24,50.0,54.17
2015,0.5765765765765766,0.3011595560054082,0.6780821917808219,5,5,window,492,222,50.0,85.59
1992,0.782608695652174,0.6332785063987777,0.8148148148148148,5,10,window,68,23,50.0,69.57
1993,0.6,0.19094065395649332,0.6470588235294118,5,10,window,80,30,50.0,53.33
2016,0.6054421768707483,0.3597339372753142,0.6931216931216931,5,5,window,436,294,50.0,82.99
1994,0.5588235294117647,0.03984095364447979,0.6666666666666665,5,10,window,104,34,50.0,58.82
2017,0.728110599078341,0.45973816479434165,0.8144654088050315,5,5,window,420,434,50.0,86.41
1995,0.5714285714285714,0.2857142857142857,0.5714285714285714,5,10,window,128,21,50.0,66.67
1996,0.4857142857142857,-0.015558667600311219,0.30769230769230765,5,10,window,140,35,50.0,51.43
2019,0.5714285714285714,0.2977325790784217,0.68,5,5,window,452,336,50.0,87.5
2020,0.42700729927007297,0.22611239982645234,0.5198776758409785,5,5,window,464,274,50.0,87.96
2018,0.625,0.37130084842340794,0.7262135922330096,5,5,window,434,376,50.0,86.97
1997,0.6136363636363636,0.2804878690541118,0.6222222222222222,5,10,window,168,44,50.0,61.36
2021,0.5384615384615384,0.2556398673098396,0.6610878661087867,5,5,window,466,351,50.0,90.6
1999,0.68,-0.06340715918772351,0.8048780487804879,5,10,window,208,50,50.0,88.0
2000,0.55,0.25728706033149573,0.6029411764705883,5,10,window,214,120,50.0,75.0
2001,0.6946564885496184,0.4046859530224463,0.7468354430379747,5,10,window,274,131,50.0,68.7
2002,0.6815286624203821,0.270391023652846,0.7747747747747749,5,10,window,334,157,50.0,78.34
2003,0.812807881773399,0.4115862621748101,0.8875739644970413,5,10,window,388,203,50.0,90.64
2004,0.7990430622009569,0.4259208091141789,0.8757396449704142,5,10,window,398,209,50.0,88.52
2005,0.7988338192419825,0.26779841589348125,0.882051282051282,5,10,window,418,343,50.0,92.13
2006,0.8470790378006873,0.3481572650935183,0.9131707317073171,5,10,window,458,582,50.0,93.81
1969,0,0,0,5,15,window,0,1,nan,0.0
1970,0,0,0,5,15,window,0,1,nan,0.0
2007,0.7848537005163512,0.32723342366705704,0.8712667353244078,5,10,window,496,581,50.0,92.43
1971,0,0,0,5,15,window,0,1,nan,0.0
1972,0,0,0,5,15,window,0,0,nan,nan
1973,0,0,0,5,15,window,0,0,nan,nan
1974,0,0,0,5,15,window,0,0,nan,nan
1975,0,0,0,5,15,window,0,1,nan,100.0
1976,0.16666666666666666,0.0,0.2857142857142857,5,15,window,2,6,50.0,16.67
1977,0,0,0,5,15,window,4,0,50.0,nan
2008,0.7696335078534031,0.28755332220418195,0.8624999999999998,5,10,window,550,573,50.0,93.72
1978,0.6666666666666666,0.0,0.8,5,15,window,4,3,50.0,66.67
2009,0.6592,0.20563613943643355,0.7801857585139319,5,10,window,594,625,50.0,92.48
1979,1.0,0.0,1.0,5,15,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,15,window,12,3,50.0,66.67
2010,0.6596119929453262,0.27771881669265525,0.7715976331360946,5,10,window,676,567,50.0,89.42
1981,0.5,0.0,0.6666666666666666,5,15,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,5,15,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,15,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,5,15,window,28,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,5,15,window,30,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,5,15,window,30,7,50.0,57.14
2012,0.5391566265060241,0.32653124694390767,0.6259168704156479,5,10,window,770,332,50.0,84.34
1987,0.6,0.0,0.7499999999999999,5,15,window,34,15,50.0,60.0
2011,0.5860566448801743,0.26145726451483714,0.6984126984126985,5,10,window,736,459,50.0,87.36
1988,0.2857142857142857,0.0,0.4444444444444445,5,15,window,46,7,50.0,28.57
2013,0.5974842767295597,0.32962412643447697,0.7037037037037037,5,10,window,806,318,50.0,87.42
1989,0.8,0.0,0.888888888888889,5,15,window,56,15,50.0,80.0
1990,1.0,0.0,1.0,5,15,window,62,8,50.0,100.0
1991,0.5,-0.19180536399919287,0.6666666666666667,5,15,window,62,24,50.0,54.17
1992,0.6521739130434783,0.17857142857142858,0.75,5,15,window,74,23,50.0,69.57
1993,0.7,0.41349254254555623,0.6896551724137931,5,15,window,88,30,50.0,53.33
1994,0.6176470588235294,0.20254787341673333,0.6829268292682926,5,15,window,114,34,50.0,58.82
2014,0.5333333333333333,0.29535867441209857,0.6266666666666666,5,10,window,848,240,50.0,85.0
2015,0.5045045045045045,0.24736818049592843,0.6014492753623188,5,10,window,872,222,50.0,85.59
1995,0.3333333333333333,-0.337099931231621,0.41666666666666663,5,15,window,142,21,50.0,66.67
