year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
1978,0.3333333333333333,0.0,0.0,10,random,4,3,50.0,66.67
1979,0.0,0.0,0.0,10,random,8,2,50.0,100.0
1980,0.6666666666666666,0.5,0.6666666666666666,10,random,12,3,50.0,66.67
1981,0.5,0.0,0.0,10,random,16,2,50.0,50.0
1982,0.3333333333333333,-0.4472135954999579,0.5,10,random,18,6,50.0,83.33
1983,0.42857142857142855,-0.4,0.6,10,random,26,7,50.0,71.43
1984,0.1,-0.6666666666666666,0.0,10,random,30,10,50.0,80.0
1985,0.5,0.3333333333333333,0.5,10,random,34,4,50.0,75.0
1986,0.5714285714285714,0.3535533905932738,0.4,10,random,36,7,50.0,57.14
1987,0.5333333333333333,0.3202563076101743,0.3636363636363636,10,random,42,15,50.0,60.0
1989,0.6,0.408248290463863,0.6666666666666666,10,random,64,15,50.0,80.0
1988,0.7142857142857143,0.0,0.0,10,random,54,7,50.0,28.57
1990,1.0,0.0,1.0,10,random,70,8,50.0,100.0
1991,0.4166666666666667,-0.14585425389314682,0.2222222222222222,10,random,70,24,50.0,54.17
1992,0.43478260869565216,0.25617376914899,0.3157894736842105,10,random,92,23,50.0,69.57
1993,0.5,-0.01848684666616339,0.5714285714285714,10,random,106,30,50.0,53.33
1994,0.47058823529411764,0.041437096508237244,0.35714285714285715,10,random,134,34,50.0,58.82
1995,0.7142857142857143,0.5547001962252291,0.7272727272727273,10,random,162,21,50.0,66.67
1996,0.6571428571428571,0.3615507630310937,0.5714285714285714,10,random,176,35,50.0,51.43
1997,0.6363636363636364,0.31482135743958545,0.6521739130434783,10,random,210,44,50.0,61.36
1998,0.6491228070175439,0.17829241019283346,0.75,10,random,244,57,50.0,75.44
1999,0.6,-0.12138259513971536,0.7435897435897436,10,random,272,50,50.0,88.0
2000,0.6833333333333333,0.31426968052735443,0.7654320987654321,10,random,284,120,50.0,75.0
2001,0.7557251908396947,0.43197831978319784,0.8222222222222222,10,random,344,131,50.0,68.7
2002,0.7261146496815286,0.3133253630254862,0.8138528138528139,10,random,426,157,50.0,78.34
2003,0.8325123152709359,0.3010636179605509,0.9034090909090908,10,random,494,203,50.0,90.64
2004,0.861244019138756,0.3534581598520596,0.9209809264305178,10,random,532,209,50.0,88.52
2005,0.8892128279883382,0.26139256376323616,0.9396825396825397,10,random,580,343,50.0,92.13
2006,0.9140893470790378,0.31429486138397333,0.9539594843462247,10,random,634,582,50.0,93.81
2007,0.882960413080895,0.3014118187356646,0.9356060606060607,10,random,706,581,50.0,92.43
2008,0.8760907504363001,0.26389951246600785,0.9319271332694152,10,random,794,573,50.0,93.72
2009,0.8656,0.29961326129928806,0.9250000000000002,10,random,866,625,50.0,92.48
2010,0.8042328042328042,0.2733105199326292,0.8844953173777315,10,random,960,567,50.0,89.42
2011,0.8191721132897604,0.35362451138360096,0.8920676202860858,10,random,1080,459,50.0,87.36
2012,0.7409638554216867,0.2143943618071578,0.8377358490566037,10,random,1196,332,50.0,84.34
2013,0.7704402515723271,0.4337844722981322,0.8525252525252526,10,random,1300,318,50.0,87.42
2014,0.7708333333333334,0.3628763481383492,0.8541114058355437,10,random,1380,240,50.0,85.0
2015,0.7567567567567568,0.36719859765557433,0.8430232558139535,10,random,1452,222,50.0,85.59
2016,0.7482993197278912,0.347579451938454,0.8348214285714285,10,random,1516,294,50.0,82.99
2017,0.8709677419354839,0.48176839690706486,0.9245283018867925,10,random,1616,434,50.0,86.41
2018,0.8111702127659575,0.4228550394369976,0.88379705400982,10,random,1734,376,50.0,86.97
2019,0.7916666666666666,0.3119000892957845,0.8736462093862817,10,random,1832,336,50.0,87.5
2020,0.7591240875912408,0.3009669142336696,0.85,10,random,1916,274,50.0,87.96
2021,0.8547008547008547,0.27987771279194923,0.9181380417335474,10,random,1982,351,50.0,90.6
2022,0.889763779527559,0.37432868198397573,0.9391304347826087,10,random,2048,127,50.0,92.91
