year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
1978,0.3333333333333333,0.0,0.0,5,window,4,3,50.0,66.67
1979,0.0,0.0,0.0,5,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,window,14,2,50.0,50.0
1982,0.16666666666666666,0.0,0.0,5,window,6,6,50.0,83.33
1983,0.2857142857142857,0.0,0.0,5,window,8,7,50.0,71.43
1984,0.7,0.5,0.7692307692307693,5,window,10,10,50.0,80.0
1985,0.25,0.0,0.0,5,window,14,4,50.0,75.0
1986,0.42857142857142855,0.0,0.0,5,window,14,7,50.0,57.14
1987,0.6,0.12309149097933272,0.7000000000000001,5,window,18,15,50.0,60.0
1988,0.5714285714285714,0.4,0.5714285714285715,5,window,28,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,5,window,34,15,50.0,80.0
1990,1.0,0.0,1.0,5,window,36,8,50.0,100.0
1991,0.5416666666666666,0.0,0.7027027027027027,5,window,34,24,50.0,54.17
1992,0.7391304347826086,0.38392857142857145,0.8125,5,window,50,23,50.0,69.57
1993,0.4666666666666667,-0.17034628596731172,0.6190476190476191,5,window,52,30,50.0,53.33
1994,0.38235294117647056,-0.16112126316514655,0.08695652173913045,5,window,70,34,50.0,58.82
1995,0.42857142857142855,0.08574929257125442,0.3333333333333333,5,window,92,21,50.0,66.67
1996,0.45714285714285713,-0.09978901679768618,0.5365853658536586,5,window,106,35,50.0,51.43
1997,0.5681818181818182,-0.08856148855400954,0.7164179104477612,5,window,118,44,50.0,61.36
1998,0.7719298245614035,0.23055616708169402,0.8659793814432991,5,window,138,57,50.0,75.44
1999,0.82,-0.09329556203566844,0.9010989010989012,5,window,138,50,50.0,88.0
2000,0.75,0.22645540682891915,0.845360824742268,5,window,122,120,50.0,75.0
2001,0.7251908396946565,0.27050430579395085,0.8285714285714285,5,window,168,131,50.0,68.7
2002,0.7898089171974523,0.2931151928775822,0.8725868725868727,5,window,216,157,50.0,78.34
2003,0.8916256157635468,0.29714701890601963,0.9408602150537634,5,window,250,203,50.0,90.64
2004,0.8947368421052632,0.31923795779103414,0.9430051813471503,5,window,260,209,50.0,88.52
2005,0.9125364431486881,0.2824168088655484,0.9532710280373832,5,window,296,343,50.0,92.13
2006,0.9140893470790378,0.36380658583754527,0.9537037037037037,5,window,290,582,50.0,93.81
2007,0.8898450946643718,0.30330320367834634,0.9397363465160076,5,window,280,581,50.0,92.43
2008,0.8394415357766143,0.28351502669463274,0.9090909090909091,5,window,300,573,50.0,93.72
2009,0.832,0.22308861622990855,0.9048050770625566,5,window,334,625,50.0,92.48
2010,0.8271604938271605,0.2976569999730977,0.8995901639344261,5,window,380,567,50.0,89.42
2011,0.803921568627451,0.29112639346545627,0.8831168831168831,5,window,446,459,50.0,87.36
2012,0.7108433734939759,0.21168242952863714,0.8132295719844359,5,window,490,332,50.0,84.34
2013,0.8081761006289309,0.46918892438905213,0.8801571709233792,5,window,506,318,50.0,87.42
2014,0.8,0.38979050363452283,0.8756476683937825,5,window,514,240,50.0,85.0
2015,0.7567567567567568,0.3162428656663888,0.8457142857142858,5,window,492,222,50.0,85.59
2016,0.782312925170068,0.26459563224236293,0.867219917012448,5,window,436,294,50.0,82.99
2017,0.8778801843317973,0.49128755852359557,0.9290495314591699,5,window,420,434,50.0,86.41
2018,0.8670212765957447,0.4234609256608482,0.9233128834355828,5,window,434,376,50.0,86.97
2019,0.8214285714285714,0.3172083195826086,0.8947368421052632,5,window,452,336,50.0,87.5
2020,0.7554744525547445,0.31324309400184525,0.8466819221967963,5,window,464,274,50.0,87.96
2021,0.8803418803418803,0.29759862778730706,0.9339622641509434,5,window,466,351,50.0,90.6
2022,0.889763779527559,0.37432868198397573,0.9391304347826087,5,window,432,127,50.0,92.91
1978,0.3333333333333333,0.0,0.0,10,window,4,3,50.0,66.67
1979,0.0,0.0,0.0,10,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,10,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,10,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,10,window,16,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,10,window,18,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,10,window,22,10,50.0,80.0
1985,0.25,0.0,0.0,10,window,26,4,50.0,75.0
1986,0.42857142857142855,-0.3535533905932738,0.6,10,window,28,7,50.0,57.14
1987,0.4,-0.408248290463863,0.5714285714285715,10,window,24,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,10,window,36,7,50.0,28.57
1989,0.7333333333333333,-0.1336306209562122,0.8461538461538461,10,window,44,15,50.0,80.0
1990,1.0,0.0,1.0,10,window,50,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,10,window,48,24,50.0,54.17
1992,0.5652173913043478,0.19889806323953876,0.6153846153846154,10,window,68,23,50.0,69.57
1993,0.5666666666666667,0.20009979763878896,0.43478260869565216,10,window,80,30,50.0,53.33
1994,0.6176470588235294,0.16518616813647866,0.723404255319149,10,window,104,34,50.0,58.82
1995,0.5238095238095238,-0.07142857142857142,0.6428571428571429,10,window,128,21,50.0,66.67
1996,0.45714285714285713,-0.09978901679768618,0.5365853658536586,10,window,140,35,50.0,51.43
1997,0.5681818181818182,-0.08856148855400954,0.7164179104477612,10,window,168,44,50.0,61.36
1998,0.7543859649122807,0.202703054823132,0.851063829787234,10,window,190,57,50.0,75.44
1999,0.86,-0.05275349613399974,0.9247311827956989,10,window,208,50,50.0,88.0
2000,0.7166666666666667,0.0899235973995271,0.826530612244898,10,window,214,120,50.0,75.0
2001,0.7862595419847328,0.46737713390742736,0.8585858585858587,10,window,274,131,50.0,68.7
2002,0.7707006369426752,0.24934170300951722,0.8593749999999999,10,window,334,157,50.0,78.34
2003,0.8916256157635468,0.29714701890601963,0.9408602150537634,10,window,388,203,50.0,90.64
2004,0.8947368421052632,0.29757124721541367,0.9432989690721649,10,window,398,209,50.0,88.52
2005,0.9067055393586005,0.20219169865775882,0.9503105590062113,10,window,418,343,50.0,92.13
2006,0.9226804123711341,0.3071409073348709,0.958904109589041,10,window,458,582,50.0,93.81
2007,0.8846815834767642,0.2773907687190747,0.9368520263901979,10,window,496,581,50.0,92.43
2008,0.8795811518324608,0.2862817535321746,0.9338446788111218,10,window,550,573,50.0,93.72
2009,0.856,0.30697059232807244,0.9189189189189189,10,window,594,625,50.0,92.48
2010,0.818342151675485,0.3029879803569975,0.8934850051706309,10,window,676,567,50.0,89.42
2011,0.7952069716775599,0.31719649075750983,0.8759894459102902,10,window,736,459,50.0,87.36
2012,0.7078313253012049,0.21941372098638454,0.8101761252446184,10,window,770,332,50.0,84.34
2013,0.7704402515723271,0.4337844722981322,0.8525252525252526,10,window,806,318,50.0,87.42
2014,0.7416666666666667,0.34115763556804013,0.8315217391304347,10,window,848,240,50.0,85.0
2015,0.7567567567567568,0.3162428656663888,0.8457142857142858,10,window,872,222,50.0,85.59
2016,0.7244897959183674,0.3288004686361045,0.8154897494305239,10,window,882,294,50.0,82.99
2017,0.8732718894009217,0.48728962735973513,0.9259757738896367,10,window,910,434,50.0,86.41
2018,0.8164893617021277,0.42041330395750176,0.8878048780487804,10,window,940,376,50.0,86.97
2019,0.8125,0.3161059241354214,0.8884955752212388,10,window,966,336,50.0,87.5
2020,0.791970802919708,0.27490190123225283,0.8752735229759301,10,window,956,274,50.0,87.96
2021,0.8917378917378918,0.32881644388133957,0.940625,10,window,902,351,50.0,90.6
2022,0.9133858267716536,0.4353201935951492,0.9527896995708155,10,window,852,127,50.0,92.91
1978,0.3333333333333333,0.0,0.0,15,window,4,3,50.0,66.67
1979,0.0,0.0,0.0,15,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,15,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,15,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,15,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,15,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,15,window,28,10,50.0,80.0
1985,0.5,-0.3333333333333333,0.6666666666666666,15,window,30,4,50.0,75.0
1986,0.42857142857142855,-0.3535533905932738,0.6,15,window,30,7,50.0,57.14
1987,0.5333333333333333,-0.21821789023599236,0.6956521739130435,15,window,34,15,50.0,60.0
1988,0.5714285714285714,0.4,0.5714285714285715,15,window,46,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,15,window,56,15,50.0,80.0
1990,1.0,0.0,1.0,15,window,62,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,15,window,62,24,50.0,54.17
1992,0.34782608695652173,-0.17857142857142858,0.34782608695652173,15,window,74,23,50.0,69.57
1993,0.5666666666666667,0.23904572186687872,0.38095238095238093,15,window,88,30,50.0,53.33
1994,0.47058823529411764,0.041437096508237244,0.35714285714285715,15,window,114,34,50.0,58.82
1995,0.3333333333333333,-0.22360679774997896,0.3,15,window,142,21,50.0,66.67
1996,0.5142857142857142,0.026229649178821125,0.5405405405405405,15,window,154,35,50.0,51.43
1997,0.5681818181818182,0.015188169985127125,0.6885245901639345,15,window,186,44,50.0,61.36
1998,0.7543859649122807,0.202703054823132,0.851063829787234,15,window,218,57,50.0,75.44
1999,0.82,-0.09329556203566844,0.9010989010989012,15,window,242,50,50.0,88.0
2000,0.7166666666666667,0.06415002990995841,0.8282828282828282,15,window,250,120,50.0,75.0
2001,0.7709923664122137,0.4251776187083193,0.8529411764705883,15,window,308,131,50.0,68.7
2002,0.7834394904458599,0.3065624956500391,0.8661417322834645,15,window,384,157,50.0,78.34
2003,0.8916256157635468,0.29714701890601963,0.9408602150537634,15,window,440,203,50.0,90.64
2004,0.8851674641148325,0.2410190443346143,0.9378238341968912,15,window,468,209,50.0,88.52
2005,0.9037900874635568,0.15856195586093602,0.9488372093023255,15,window,510,343,50.0,92.13
2006,0.9243986254295533,0.2755777493333307,0.9600000000000001,15,window,564,582,50.0,93.81
2007,0.8950086058519794,0.31601554097778756,0.9427230046948358,15,window,614,581,50.0,92.43
2008,0.8743455497382199,0.22785411676648992,0.9311663479923519,15,window,688,573,50.0,93.72
2009,0.8864,0.26427357481198366,0.9379912663755459,15,window,732,625,50.0,92.48
2010,0.8342151675485009,0.2995860661479754,0.9042769857433809,15,window,798,567,50.0,89.42
2011,0.8082788671023965,0.34589668576526905,0.8845144356955381,15,window,904,459,50.0,87.36
2012,0.7319277108433735,0.1913897505877382,0.831758034026465,15,window,986,332,50.0,84.34
2013,0.7735849056603774,0.4375160594655674,0.8548387096774195,15,window,1056,318,50.0,87.42
2014,0.7458333333333333,0.34615850135595716,0.8346883468834689,15,window,1108,240,50.0,85.0
2015,0.7702702702702703,0.33374062305702207,0.8555240793201133,15,window,1168,222,50.0,85.59
2016,0.7551020408163265,0.313171876169122,0.8427947598253275,15,window,1172,294,50.0,82.99
2017,0.8594470046082949,0.4717300352952651,0.916780354706685,15,window,1190,434,50.0,86.41
2018,0.8111702127659575,0.4228550394369976,0.88379705400982,15,window,1240,376,50.0,86.97
2019,0.7738095238095238,0.28808449228681293,0.8613138686131387,15,window,1300,336,50.0,87.5
2020,0.7408759124087592,0.28028977732536126,0.8367816091954022,15,window,1336,274,50.0,87.96
2021,0.8603988603988604,0.29077764013765706,0.9216,15,window,1348,351,50.0,90.6
