year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
1978,0.3333333333333333,0.0,0.0,,only,4,3,50.0,66.67
1980,0.6666666666666666,0.0,0.8,,only,12,3,50.0,66.67
1979,0.0,0.0,0.0,,only,8,2,50.0,100.0
1981,0.5,0.0,0.6666666666666666,,only,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,,only,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,,only,26,7,50.0,71.43
1985,0.75,0.0,0.8571428571428571,,only,34,4,50.0,75.0
1986,0.7142857142857143,0.47140452079103173,0.8,,only,36,7,50.0,57.14
1984,0.8,0.0,0.888888888888889,,only,30,10,50.0,80.0
1987,0.6,0.0,0.7499999999999999,,only,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,,only,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,,only,64,15,50.0,80.0
1990,1.0,0.0,1.0,,only,70,8,50.0,100.0
1991,0.5416666666666666,0.0,0.7027027027027027,,only,70,24,50.0,54.17
1994,0.5882352941176471,0.0,0.7407407407407407,,only,134,34,50.0,58.82
1992,0.6956521739130435,0.0,0.8205128205128205,,only,92,23,50.0,69.57
1995,0.5238095238095238,0.1386750490563073,0.5454545454545454,,only,162,21,50.0,66.67
1993,0.5333333333333333,0.0,0.6956521739130436,,only,106,30,50.0,53.33
1996,0.5142857142857142,0.0,0.6792452830188679,,only,176,35,50.0,51.43
1997,0.6136363636363636,0.2556549962824568,0.6382978723404256,,only,210,44,50.0,61.36
1998,0.6666666666666666,0.162547628353326,0.7710843373493975,,only,244,57,50.0,75.44
1999,0.56,0.04463547754827117,0.6944444444444445,,only,272,50,50.0,88.0
2000,0.7166666666666667,0.17407765595569782,0.8191489361702127,,only,284,120,50.0,75.0
2001,0.7480916030534351,0.41037789678065717,0.8176795580110496,,only,344,131,50.0,68.7
2003,0.8472906403940886,0.3540857131440552,0.9121813031161473,,only,494,203,50.0,90.64
2002,0.732484076433121,0.2116212338593974,0.8292682926829268,,only,426,157,50.0,78.34
2004,0.8373205741626795,0.39700358476186254,0.903954802259887,,only,532,209,50.0,88.52
2005,0.8688046647230321,0.26482538974427283,0.9273021001615509,,only,580,343,50.0,92.13
2006,0.9020618556701031,0.3778545250290793,0.9465791940018745,,only,634,582,50.0,93.81
2007,0.8605851979345955,0.38357378475532966,0.9208211143695014,,only,706,581,50.0,92.43
2008,0.8167539267015707,0.3242072452697295,0.8938321536905965,,only,794,573,50.0,93.72
2009,0.768,0.2529298163911186,0.8612440191387561,,only,866,625,50.0,92.48
2010,0.7530864197530864,0.2759296428502645,0.8474945533769063,,only,960,567,50.0,89.42
2012,0.6686746987951807,0.3528385209181022,0.7639484978540773,,only,1196,332,50.0,84.34
2011,0.7124183006535948,0.3134911892906432,0.8114285714285714,,only,1080,459,50.0,87.36
2013,0.7012578616352201,0.41466860541743716,0.7956989247311829,,only,1300,318,50.0,87.42
2015,0.6576576576576577,0.31484085668412537,0.759493670886076,,only,1452,222,50.0,85.59
2014,0.6708333333333333,0.37444487058223563,0.7655786350148368,,only,1380,240,50.0,85.0
2016,0.6870748299319728,0.38769019737647886,0.775609756097561,,only,1516,294,50.0,82.99
2017,0.7926267281105991,0.46281272354090625,0.8676470588235293,,only,1616,434,50.0,86.41
2018,0.726063829787234,0.4481232958163062,0.8144144144144144,,only,1734,376,50.0,86.97
2019,0.6666666666666666,0.2802739451791808,0.7741935483870969,,only,1832,336,50.0,87.5
2020,0.6131386861313869,0.33062377294374873,0.7210526315789474,,only,1916,274,50.0,87.96
2022,0.7952755905511811,0.44775468897735804,0.8761904761904762,,only,2048,127,50.0,92.91
2021,0.7207977207977208,0.3871949801478786,0.8191881918819188,,only,1982,351,50.0,90.6
