year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
1978,0.3333333333333333,0.0,0.0,,random,4,3,50.0,66.67
1979,0.0,0.0,0.0,,random,8,2,50.0,100.0
1980,0.3333333333333333,0.0,0.0,,random,12,3,50.0,66.67
1981,0.5,0.0,0.0,,random,16,2,50.0,50.0
1982,0.16666666666666666,0.0,0.0,,random,18,6,50.0,83.33
1986,0.42857142857142855,0.0,0.0,,random,36,7,50.0,57.14
1983,0.2857142857142857,0.0,0.0,,random,26,7,50.0,71.43
1987,0.4,0.0,0.0,,random,42,15,50.0,60.0
1984,0.2,0.0,0.0,,random,30,10,50.0,80.0
1988,0.7142857142857143,0.0,0.0,,random,54,7,50.0,28.57
1985,0.25,0.0,0.0,,random,34,4,50.0,75.0
1989,0.2,0.0,0.0,,random,64,15,50.0,80.0
1990,0.0,0.0,0.0,,random,70,8,50.0,100.0
1991,0.5,0.0948209311861521,0.25,,random,70,24,50.0,54.17
1992,0.30434782608695654,0.0,0.0,,random,92,23,50.0,69.57
1993,0.4666666666666667,0.0,0.0,,random,106,30,50.0,53.33
1995,0.3333333333333333,0.0,0.0,,random,162,21,50.0,66.67
1994,0.38235294117647056,-0.16112126316514655,0.08695652173913045,,random,134,34,50.0,58.82
1996,0.5142857142857142,0.16666666666666666,0.10526315789473684,,random,176,35,50.0,51.43
1997,0.4318181818181818,0.08856148855400954,0.19354838709677416,,random,210,44,50.0,61.36
1998,0.2982456140350877,0.1344910974643215,0.13043478260869565,,random,244,57,50.0,75.44
1999,0.28,0.16116459280507606,0.3076923076923077,,random,272,50,50.0,88.0
2000,0.39166666666666666,0.1976938432374323,0.3302752293577982,,random,284,120,50.0,75.0
2001,0.6106870229007634,0.30733070070099777,0.6482758620689656,,random,344,131,50.0,68.7
2002,0.6178343949044586,0.37208604000088624,0.6875000000000001,,random,426,157,50.0,78.34
2003,0.7586206896551724,0.4007692837152724,0.8482972136222909,,random,494,203,50.0,90.64
2004,0.7129186602870813,0.4175083069088143,0.8076923076923077,,random,532,209,50.0,88.52
2005,0.7900874635568513,0.17739278072095743,0.8779661016949152,,random,580,343,50.0,92.13
2006,0.8573883161512027,0.34978104115396796,0.9196515004840271,,random,634,582,50.0,93.81
2007,0.8209982788296041,0.358988648499985,0.8953722334004024,,random,706,581,50.0,92.43
2008,0.8184991273996509,0.3127851768845376,0.8951612903225806,,random,794,573,50.0,93.72
2009,0.7616,0.2681114701523364,0.8563162970106076,,random,866,625,50.0,92.48
2010,0.7354497354497355,0.29323163010917885,0.8333333333333334,,random,960,567,50.0,89.42
2011,0.710239651416122,0.30191166418456944,0.8102710413694721,,random,1080,459,50.0,87.36
2012,0.6596385542168675,0.388582514180284,0.7516483516483518,,random,1196,332,50.0,84.34
2013,0.6981132075471698,0.3982886073136181,0.7939914163090128,,random,1300,318,50.0,87.42
2014,0.65,0.35552856456843185,0.7469879518072288,,random,1380,240,50.0,85.0
2015,0.6576576576576577,0.36792934209436706,0.7548387096774194,,random,1452,222,50.0,85.59
2016,0.6462585034013606,0.3596411698834177,0.7373737373737373,,random,1516,294,50.0,82.99
2017,0.836405529953917,0.5584421356561392,0.8972503617945007,,random,1616,434,50.0,86.41
2018,0.7313829787234043,0.45344112308584744,0.8186714542190305,,random,1734,376,50.0,86.97
2019,0.6845238095238095,0.33540980324721636,0.7862903225806451,,random,1832,336,50.0,87.5
2020,0.6459854014598541,0.30619034554012436,0.7544303797468355,,random,1916,274,50.0,87.96
2021,0.7350427350427351,0.38521059767633814,0.8306010928961748,,random,1982,351,50.0,90.6
2022,0.7322834645669292,0.3859985438283459,0.8316831683168318,,random,2048,127,50.0,92.91
