year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
1978,0.6666666666666666,0.0,0.8,5,window,4,3,50.0,66.67
1979,1.0,0.0,1.0,5,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,window,14,2,50.0,50.0
1994,0.5882352941176471,0.0,0.7407407407407407,5,window,70,34,50.0,58.82
1982,0.16666666666666666,0.0,0.0,5,window,6,6,50.0,83.33
1983,0.5714285714285714,0.09128709291752768,0.6666666666666665,5,window,8,7,50.0,71.43
1984,0.6,0.4082482904638631,0.6666666666666666,5,window,10,10,50.0,80.0
1985,0.5,0.3333333333333333,0.5,5,window,14,4,50.0,75.0
1986,0.14285714285714285,-0.75,0.25,5,window,14,7,50.0,57.14
1987,0.4,-0.408248290463863,0.5714285714285715,5,window,18,15,50.0,60.0
1988,0.8571428571428571,0.6454972243679028,0.6666666666666666,5,window,28,7,50.0,28.57
1995,0.6666666666666666,0.0,0.8,5,window,92,21,50.0,66.67
1989,0.26666666666666666,0.1336306209562122,0.15384615384615385,5,window,34,15,50.0,80.0
1990,1.0,0.0,1.0,5,window,36,8,50.0,100.0
1991,0.5416666666666666,0.0,0.7027027027027027,5,window,34,24,50.0,54.17
1996,0.4,-0.23500799597021088,0.5116279069767442,5,window,106,35,50.0,51.43
1992,0.6956521739130435,0.0,0.8205128205128205,5,window,50,23,50.0,69.57
1997,0.5454545454545454,0.28665853582275247,0.4444444444444444,5,window,118,44,50.0,61.36
1993,0.5333333333333333,0.0,0.6956521739130436,5,window,52,30,50.0,53.33
1998,0.7192982456140351,0.16543808622328776,0.8222222222222222,5,window,138,57,50.0,75.44
1999,0.68,0.1424926116857528,0.794871794871795,5,window,138,50,50.0,88.0
2000,0.575,0.10657533873037968,0.6751592356687899,5,window,122,120,50.0,75.0
2001,0.7251908396946565,0.27152301980736826,0.8269230769230769,5,window,168,131,50.0,68.7
2002,0.7452229299363057,0.2649882732386734,0.8360655737704918,5,window,216,157,50.0,78.34
2004,0.7990430622009569,0.44709397144654467,0.875,5,window,260,209,50.0,88.52
