Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,NB,0.7397310069065794,0.4820375529440256,0.7255653507090839,facts,5502,50.0
2,NB,0.6515151515151515,0.30482069375258275,0.631578947368421,facts,462,50.0
3,NB,0.6493212669683258,0.29879245412889516,0.6436781609195402,facts,1326,50.0
5,NB,0.6606425702811245,0.32254655889278283,0.6749999999999999,facts,996,50.0
6,NB,0.7429816069699903,0.5096071163221719,0.6974358974358975,facts,2066,50.0
8,NB,0.6644230769230769,0.3354934607593966,0.6275346851654215,facts,1040,50.0
10,NB,0.6666666666666666,0.3395498750508662,0.6315789473684211,facts,378,50.0
11,NB,0.7788461538461539,0.5628150927482626,0.7927927927927929,facts,104,50.0
13,NB,0.7678571428571429,0.5408707743781126,0.7506849315068495,facts,392,50.0
14,NB,0.73992673992674,0.48048569815118347,0.7330827067669173,facts,546,50.0
