Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,NB,0.7478197674418605,0.4972019696169897,0.7374195989405978,procedure+facts,5504,50.0
2,NB,0.7056277056277056,0.41150225863494605,0.7004405286343612,procedure+facts,462,50.0
3,NB,0.6266968325791855,0.253979354650035,0.6389496717724289,procedure+facts,1326,50.0
5,NB,0.6736947791164659,0.3496876679818835,0.691358024691358,procedure+facts,996,50.0
6,NB,0.7763794772507261,0.5607714455631331,0.7558139534883721,procedure+facts,2066,50.0
8,NB,0.6884615384615385,0.37815858588659734,0.6753507014028057,procedure+facts,1040,50.0
10,NB,0.6684210526315789,0.34305629583553904,0.6337209302325582,procedure+facts,380,50.0
11,NB,0.8269230769230769,0.6719840027857806,0.8448275862068965,procedure+facts,104,50.0
13,NB,0.7729591836734694,0.5467801512044328,0.7664041994750657,procedure+facts,392,50.0
14,NB,0.7362637362637363,0.47406931046168266,0.7251908396946565,procedure+facts,546,50.0
