Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,NB,0.7145712209302325,0.4291458700528635,0.7139996359002366,procedure,5504,50.0
2,NB,0.670995670995671,0.3424537269812709,0.6622222222222222,procedure,462,50.0
3,NB,0.6108597285067874,0.22343496293897264,0.6335227272727272,procedure,1326,50.0
5,NB,0.6506024096385542,0.31348116410969945,0.6931216931216931,procedure,996,50.0
6,NB,0.7061955469506292,0.4174929952562184,0.7274360125729682,procedure,2066,50.0
8,NB,0.6394230769230769,0.27916897475798874,0.647887323943662,procedure,1040,50.0
10,NB,0.6605263157894737,0.3210926594746819,0.6578249336870027,procedure,380,50.0
11,NB,0.75,0.5060243137049899,0.7678571428571429,procedure,104,50.0
13,NB,0.7551020408163265,0.5115106243138806,0.7635467980295567,procedure,392,50.0
14,NB,0.6978021978021978,0.3960536909173999,0.6904315196998125,procedure,546,50.0
