Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,RF,0.7522165697674418,0.5064727731641062,0.7405925066243437,procedure+facts,5504,50.0
2,RF,0.6623376623376623,0.3247981488445109,0.6578959180450176,procedure+facts,462,50.0
3,RF,0.6413273001508295,0.28298780732243717,0.6324469638158368,procedure+facts,1326,50.0
5,RF,0.6636546184738956,0.32738615131189464,0.6600342251665975,procedure+facts,996,50.0
6,RF,0.7454985479186835,0.4920603428393651,0.7535850785163115,procedure+facts,2066,50.0
8,RF,0.6325,0.26920041187686283,0.6621837828648647,procedure+facts,1040,50.0
10,RF,0.6605263157894737,0.3217638279161398,0.6488823907312643,procedure+facts,380,50.0
11,RF,0.7326923076923078,0.4683149349789253,0.7468223519599667,procedure+facts,104,50.0
13,RF,0.7709183673469389,0.5477182935951005,0.7528888300703136,procedure+facts,392,50.0
14,RF,0.7435897435897436,0.4880654034472328,0.7510622523319406,procedure+facts,546,50.0
