Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,RF,0.725545058139535,0.4526719340424548,0.7135867782863399,procedure,5504,50.0
2,RF,0.6004329004329004,0.20087900976124345,0.6026677790137189,procedure,462,50.0
3,RF,0.6365007541478129,0.2731147962778583,0.6414701781749643,procedure,1326,50.0
5,RF,0.6132530120481927,0.22706177900713712,0.6263151041298544,procedure,996,50.0
6,RF,0.7039690222652469,0.41022035737024937,0.7187781696980564,procedure,2066,50.0
8,RF,0.6046153846153846,0.21868342750526568,0.6548000188739509,procedure,1040,50.0
10,RF,0.6557894736842105,0.31335013750928675,0.6729699984923866,procedure,380,50.0
11,RF,0.7557692307692307,0.5242999694054605,0.7799100449775113,procedure,104,50.0
13,RF,0.7357142857142858,0.47151913623843633,0.7381203354996886,procedure,392,50.0
14,RF,0.6835164835164835,0.36832285759455896,0.6962071937592683,procedure,546,50.0
