Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM,0.5800436205016357,0.23011886340539514,0.3421743960149465,facts,5502,50.0
2,SVM,0.6826839826839828,0.38514542763275683,0.6231090941697792,facts,462,50.0
3,SVM,0.6562594268476621,0.31258627483252327,0.659702263641873,facts,1326,50.0
5,SVM,0.647991967871486,0.2961405149554611,0.6423165189670129,facts,996,50.0
6,SVM,0.7666989351403679,0.5345193731568756,0.7589026977346324,facts,2066,50.0
8,SVM,0.6886538461538462,0.3774836139943203,0.6838511506673834,facts,1040,50.0
10,SVM,0.5941798941798941,0.1892426262433736,0.5899144534463753,facts,378,50.0
11,SVM,0.548076923076923,0.13725031035750873,0.6686982146083229,facts,104,50.0
13,SVM,0.7637755102040816,0.5311323170114199,0.7492886913586038,facts,392,50.0
14,SVM,0.7692307692307692,0.5391479268240909,0.7748284268538643,facts,546,50.0
