Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM_med,0.7266448564158487,0.45572466150204705,0.7117669605212724,facts,5502,50.0
2,SVM_med,0.6623376623376623,0.3307303977768177,0.6267942583732057,facts,462,50.0
3,SVM_med,0.6449472096530919,0.2899606047901234,0.6437253914673413,facts,1326,50.0
5,SVM_med,0.6556224899598394,0.31142648604406975,0.6614017769002961,facts,996,50.0
6,SVM_med,0.7725072604065828,0.5464955788894861,0.7638190954773869,facts,2066,50.0
8,SVM_med,0.6807692307692308,0.36158125475178987,0.683206106870229,facts,1040,50.0
10,SVM_med,0.6216931216931217,0.24396403801622996,0.6082191780821918,facts,378,50.0
11,SVM_med,0.7403846153846154,0.4808581550705126,0.7428571428571428,facts,104,50.0
13,SVM_med,0.7704081632653061,0.5418327933225641,0.763157894736842,facts,392,50.0
14,SVM_med,0.73992673992674,0.47996941449635366,0.7427536231884059,facts,546,50.0
