Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM,0.5716206395348837,0.148001559307332,0.6145910815895754,procedure+facts,5504,50.0
2,SVM,0.6766233766233767,0.37257772673382517,0.6155212620774714,procedure+facts,462,50.0
3,SVM,0.6336349924585218,0.26735458764392733,0.638166458725878,procedure+facts,1326,50.0
5,SVM,0.6528112449799197,0.30566204023251176,0.6510405773631222,procedure+facts,996,50.0
6,SVM,0.7572120038722169,0.5153119279204462,0.7498998986064522,procedure+facts,2066,50.0
8,SVM,0.6667307692307692,0.3343319168889596,0.6782980260474094,procedure+facts,1040,50.0
10,SVM,0.618421052631579,0.238829129340362,0.6029173517635131,procedure+facts,380,50.0
11,SVM,0.5557692307692308,0.1324349877229488,0.6480375124140034,procedure+facts,104,50.0
13,SVM,0.7607142857142858,0.5279565405043627,0.7404611917100226,procedure+facts,392,50.0
14,SVM,0.7717948717948718,0.5435948650245396,0.7715449051176233,procedure+facts,546,50.0
