Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM,0.6374273255813954,0.29577466480236386,0.555731615881301,procedure,5504,50.0
2,SVM,0.6800865800865801,0.36330445566949304,0.6577116199957954,procedure,462,50.0
3,SVM,0.6402714932126696,0.2818857175963458,0.6569830711946971,procedure,1326,50.0
5,SVM,0.5937751004016064,0.187624471354092,0.5989947483266004,procedure,996,50.0
6,SVM,0.7224588576960309,0.4450959711070973,0.7262396188381972,procedure,2066,50.0
8,SVM,0.6321153846153846,0.2644962309796162,0.6400765280568381,procedure,1040,50.0
10,SVM,0.6163157894736842,0.23321968095947182,0.6139835963126353,procedure,380,50.0
11,SVM,0.6942307692307692,0.396184107721982,0.7215255530129671,procedure,104,50.0
13,SVM,0.7494897959183675,0.5039483969343166,0.7306551613407877,procedure,392,50.0
14,SVM,0.7084249084249085,0.4174992040412359,0.7163208991134468,procedure,546,50.0
