Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,NB,0.6717752234993615,0.34359080001499775,0.6742712294043093,facts,3132,50.0
2,NB,0.7631578947368421,0.5455447255899809,0.7906976744186046,facts,114,50.0
3,NB,0.7447183098591549,0.49364393711499865,0.7603305785123967,facts,568,50.0
5,NB,0.6566666666666666,0.3233239180294307,0.6943620178041542,facts,300,50.0
6,NB,0.7478165938864629,0.5138917255071419,0.709433962264151,facts,916,50.0
8,NB,0.6724890829694323,0.3463014218504707,0.6575342465753424,facts,458,50.0
10,NB,0.589622641509434,0.18286992114420214,0.5445026178010473,facts,212,50.0
11,NB,0.796875,0.6187251285745443,0.821917808219178,facts,64,50.0
13,NB,0.820754716981132,0.6416236526819377,0.8224299065420562,facts,212,50.0
14,NB,0.7048611111111112,0.4274128108012798,0.6558704453441295,facts,288,50.0
