Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,NB,0.6848659003831418,0.36987126276155924,0.6891338582677166,procedure+facts,3132,50.0
2,NB,0.7368421052631579,0.4845437118523489,0.761904761904762,procedure+facts,114,50.0
3,NB,0.7359154929577465,0.4775977318789685,0.7549019607843137,procedure+facts,568,50.0
5,NB,0.6866666666666666,0.38592249249397986,0.7218934911242603,procedure+facts,300,50.0
6,NB,0.7554585152838428,0.5115074860223267,0.749440715883669,procedure+facts,916,50.0
8,NB,0.5982532751091703,0.20831324236136578,0.6554307116104868,procedure+facts,458,50.0
10,NB,0.5801886792452831,0.1612479447469338,0.5572139303482586,procedure+facts,212,50.0
11,NB,0.78125,0.5809475019311126,0.8055555555555556,procedure+facts,64,50.0
13,NB,0.8160377358490566,0.6327798284564706,0.8202764976958525,procedure+facts,212,50.0
14,NB,0.6631944444444444,0.33906086335734725,0.6104417670682731,procedure+facts,288,50.0
