Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,NB,0.6883780332056194,0.3791034789439299,0.7047791893526921,procedure,3132,50.0
2,NB,0.6491228070175439,0.2982456140350877,0.6491228070175439,procedure,114,50.0
3,NB,0.6778169014084507,0.3590352341509814,0.6985172981878089,procedure,568,50.0
5,NB,0.6733333333333333,0.3642156795423418,0.7167630057803468,procedure,300,50.0
6,NB,0.6255458515283843,0.26820958315947174,0.6815227483751161,procedure,916,50.0
8,NB,0.4585152838427947,-0.08986993208981146,0.5457875457875457,procedure,458,50.0
10,NB,0.5235849056603774,0.04853911425894655,0.5738396624472574,procedure,212,50.0
11,NB,0.78125,0.5726562866782,0.7999999999999999,procedure,64,50.0
13,NB,0.7971698113207547,0.5964935640397419,0.8054298642533937,procedure,212,50.0
14,NB,0.6770833333333334,0.36056136568627406,0.6436781609195402,procedure,288,50.0
