Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,RF,0.7049169859514688,0.4098486879572942,0.7038771358283733,facts,3132,50.0
2,RF,0.6912280701754385,0.3829782179790838,0.6857814599193911,facts,114,50.0
3,RF,0.7376760563380282,0.4786036783705446,0.7520826714618613,facts,568,50.0
5,RF,0.638,0.2804468038151703,0.66750484391031,facts,300,50.0
6,RF,0.7323144104803493,0.4673831714407711,0.7460656914516441,facts,916,50.0
8,RF,0.6257641921397379,0.25909981021695677,0.6655568195250522,facts,458,50.0
10,RF,0.5839622641509434,0.16823525430365108,0.5958107626400836,facts,212,50.0
11,RF,0.75625,0.5165626938917571,0.7707421969436703,facts,64,50.0
13,RF,0.7801886792452831,0.5604226250643187,0.7812079909067052,facts,212,50.0
14,RF,0.71875,0.4375190582159673,0.7189247596985338,facts,288,50.0
