Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,RF,0.7107279693486589,0.4214564184941828,0.7106164006122451,procedure+facts,3132,50.0
2,RF,0.724561403508772,0.44927642989719613,0.7269322693578987,procedure+facts,114,50.0
3,RF,0.7394366197183098,0.4817342540357516,0.7528317207930197,procedure+facts,568,50.0
5,RF,0.6493333333333333,0.3043586280799656,0.6800384831670576,procedure+facts,300,50.0
6,RF,0.6945414847161572,0.3984267120023728,0.7242259391244038,procedure+facts,916,50.0
8,RF,0.5790393013100437,0.1744284767185629,0.6524872637746959,procedure+facts,458,50.0
10,RF,0.5877358490566038,0.17574434561012403,0.5978813980806231,procedure+facts,212,50.0
11,RF,0.753125,0.5148637431392632,0.7735817805383022,procedure+facts,64,50.0
13,RF,0.7783018867924529,0.5566087276693618,0.7785100540349014,procedure+facts,212,50.0
14,RF,0.7020833333333334,0.40459749690919056,0.7087591832012494,procedure+facts,288,50.0
