Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,RF,0.695530012771392,0.3916381942387014,0.7035560217987739,procedure,3132,50.0
2,RF,0.6385964912280702,0.2849347423015193,0.6761072834645668,procedure,114,50.0
3,RF,0.6588028169014084,0.32661623072377177,0.6944183003903543,procedure,568,50.0
5,RF,0.6020000000000001,0.2091268947323172,0.64144326375244,procedure,300,50.0
6,RF,0.604585152838428,0.21604332937643522,0.6485540835885302,procedure,916,50.0
8,RF,0.5200873362445415,0.04733537427821337,0.620641061520384,procedure,458,50.0
10,RF,0.5169811320754717,0.03518626047942516,0.5718608692492175,procedure,212,50.0
11,RF,0.809375,0.6241793101409528,0.8211423699914748,procedure,64,50.0
13,RF,0.7584905660377359,0.5208175752686273,0.7722345242977015,procedure,212,50.0
14,RF,0.6986111111111111,0.4049558344492709,0.7253153528312255,procedure,288,50.0
