Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM,0.5173690932311622,0.043792633093591764,0.6302556994022168,facts,3132,50.0
2,SVM,0.7087719298245614,0.4199687901283002,0.723281972265023,facts,114,50.0
3,SVM,0.7665492957746478,0.5350915086383183,0.7757533767464856,facts,568,50.0
5,SVM,0.6940000000000001,0.39298173517988555,0.7166800640038782,facts,300,50.0
6,SVM,0.7552401746724892,0.5110564637634095,0.7493833508830569,facts,916,50.0
8,SVM,0.6807860262008733,0.3620366519201576,0.6726352063548354,facts,458,50.0
10,SVM,0.5547169811320756,0.1113486029819647,0.5757005896544771,facts,212,50.0
11,SVM,0.584375,0.18173385943736117,0.6490434870181705,facts,64,50.0
13,SVM,0.8066037735849056,0.613540802427005,0.8034486743868895,facts,212,50.0
14,SVM,0.7152777777777778,0.4306308723734098,0.7164445153488508,facts,288,50.0
