Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM_med,0.6565772669220944,0.31421252385552434,0.6418964080748368,facts,3132,50.0
2,SVM_med,0.6929824561403509,0.386024323488978,0.6956521739130435,facts,114,50.0
3,SVM_med,0.7746478873239436,0.5516122451661623,0.7845117845117845,facts,568,50.0
5,SVM_med,0.7066666666666667,0.4151454776043247,0.7197452229299363,facts,300,50.0
6,SVM_med,0.7641921397379913,0.5298462760449364,0.7551020408163265,facts,916,50.0
8,SVM_med,0.6703056768558951,0.34155379778103334,0.6575963718820861,facts,458,50.0
10,SVM_med,0.5943396226415094,0.18881372801234025,0.601851851851852,facts,212,50.0
11,SVM_med,0.6875,0.3757345746510897,0.6774193548387096,facts,64,50.0
13,SVM_med,0.7924528301886793,0.5858449331643022,0.7864077669902914,facts,212,50.0
14,SVM_med,0.75,0.5000482322868048,0.7517241379310345,facts,288,50.0
