Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM_med,0.6660280970625798,0.33293955489305194,0.6534128561961564,procedure+facts,3132,50.0
2,SVM_med,0.6666666666666666,0.3333333333333333,0.6666666666666666,procedure+facts,114,50.0
3,SVM_med,0.7746478873239436,0.5519850541454904,0.785234899328859,procedure+facts,568,50.0
5,SVM_med,0.71,0.42211588240886905,0.7238095238095238,procedure+facts,300,50.0
6,SVM_med,0.740174672489083,0.4803539249462724,0.7407407407407407,procedure+facts,916,50.0
8,SVM_med,0.6026200873362445,0.20812561953369574,0.6330645161290323,procedure+facts,458,50.0
10,SVM_med,0.5990566037735849,0.19854660972908986,0.6118721461187214,procedure+facts,212,50.0
11,SVM_med,0.65625,0.31311214554257477,0.6451612903225806,procedure+facts,64,50.0
13,SVM_med,0.8160377358490566,0.6323287690899081,0.8186046511627907,procedure+facts,212,50.0
14,SVM_med,0.7152777777777778,0.43092978905128787,0.7210884353741497,procedure+facts,288,50.0
