Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM,0.5215836526181354,0.05123837308992198,0.6125247526418912,procedure+facts,3132,50.0
2,SVM,0.6912280701754386,0.38383309535960797,0.7036889332003987,procedure+facts,114,50.0
3,SVM,0.7612676056338028,0.5255641422527562,0.7732126614873622,procedure+facts,568,50.0
5,SVM,0.7020000000000001,0.41022088680861996,0.7240039696860339,procedure+facts,300,50.0
6,SVM,0.7373362445414846,0.47528128691523464,0.7434429723904665,procedure+facts,916,50.0
8,SVM,0.6262008733624455,0.2565093800943792,0.6567758488985522,procedure+facts,458,50.0
10,SVM,0.570754716981132,0.1422375100689422,0.5865667127693527,procedure+facts,212,50.0
11,SVM,0.49375,-0.015722827534406934,0.5910885746950593,procedure+facts,64,50.0
13,SVM,0.7839622641509434,0.568052166288308,0.7838181612701265,procedure+facts,212,50.0
14,SVM,0.7152777777777778,0.43125247950715784,0.7229596686686905,procedure+facts,288,50.0
