Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,SVM,0.6074712643678161,0.2311016790642113,0.668102678465577,procedure,3132,50.0
2,SVM,0.5964912280701754,0.19491172578304186,0.6229508196721312,procedure,114,50.0
3,SVM,0.6595070422535212,0.3264559317722754,0.6921231103262182,procedure,568,50.0
5,SVM,0.6026666666666667,0.2108944503910049,0.6430650610094047,procedure,300,50.0
6,SVM,0.6115720524017467,0.22895044958819039,0.6505447677263365,procedure,916,50.0
8,SVM,0.5397379912663756,0.08069986001126253,0.5763417871430507,procedure,458,50.0
10,SVM,0.5367924528301886,0.07486719558501023,0.5719409556588994,procedure,212,50.0
11,SVM,0.815625,0.6341695564371224,0.8238646340490063,procedure,64,50.0
13,SVM,0.7858490566037737,0.5725597048487123,0.7911215635162205,procedure,212,50.0
14,SVM,0.6423611111111112,0.2867361017182314,0.6622907397987146,procedure,288,50.0
